Maker,Genmodel,Genmodel_ID,2022,2023,2024,2025,2026
Bentley,Brooklands,10_4,355014.15374345554,369163.964585092,383894.9944528245,399225.9241299677,415177.5520244875
Bentley,Continental,10_5,152394.97329328084,157885.40196731256,163777.05886561543,170031.5097939673,176625.12818733507
Bentley,Flying Spur,10_6,137736.41340401,141230.071142807,145468.21483036492,150299.20201287145,155619.75110589067
Bentley,Mulsanne,10_7,238074.26362549895,244105.36053784925,251425.26341649448,259771.25587314612,268964.39345206623
Cadillac,BLS,14_1,31938.909488333768,33211.85083599006,34537.09434711572,35916.3167553806,37351.38646966199
Cadillac,CTS,14_2,39846.72720345742,41438.24853174094,43094.135041112226,44816.75004042787,46608.61476041481
Cadillac,Escalade,14_3,81084.3818590813,84340.17741319984,87722.47870555654,91237.46379085888,94891.22249844932
Cadillac,SRX,14_4,41374.062550401155,43018.03467811753,44731.06280323247,46514.92003195493,48371.74713484834
Cadillac,STS,14_5,51870.10638406413,53937.70721279217,56090.17310265968,58330.25034771515,60660.98958628811
Chevrolet,Aveo,16_2,12445.476892748922,12932.027040933584,13441.41987330322,13973.554893747956,14528.6318473567
Chevrolet,Blazer,16_3,42620.06291442697,44323.89924799536,46096.17888980909,47939.5526157272,49856.80331958431
Chevrolet,Camaro,16_4,40031.03964264976,41523.18780481455,43107.749920528295,44778.60413981424,46532.32926113218
Chevrolet,Captiva,16_5,24598.97777450044,25537.289218700054,26526.827420701775,27565.53316080745,28652.49733753407
Chevrolet,Cruze,16_7,16991.070631161172,17643.713351183822,18330.561811574516,19050.55423247784,19803.315365685194
Chevrolet,Epica,16_8,21053.04151668974,21892.782459349215,22766.827255117503,23676.333793498223,24622.57055896137
Chevrolet,Kalos,16_10,10623.404202751926,11046.408832243911,11486.913108501009,11945.443178918184,12422.598388328908
Chevrolet,Lacetti,16_11,14909.440705948584,15502.951793496932,16121.063286754092,16764.501213286356,17434.098038361277
Chevrolet,Matiz,16_12,10025.26290437735,10425.730740089415,10842.38009336887,11275.809383676742,11726.655619624991
Chevrolet,Orlando,16_13,20802.566582173433,21594.79400164735,22430.67309104413,23308.361145217517,24227.018382398353
Chevrolet,Spark,16_14,10257.467334205196,10662.18262180167,11084.761542633523,11525.416135510714,11984.517672751435
Chevrolet,Tacuma,16_16,17100.7249256913,17782.18677378368,18491.677240480338,19230.08642712127,19998.409352121325
Chevrolet,Trax,16_18,17872.33858408979,18536.94659187338,19243.224580642316,19988.313651433808,20770.59825878722
Chevrolet,Volt,16_19,41201.84465962256,42737.53085046627,44368.36076760608,46088.02527649514,47892.99734228431
Chrysler,300C,17_1,34559.71925547036,35829.90413439102,37184.55757585796,38616.95997215618,40123.15243632717
Chrysler,Crossfire,17_2,39180.55065346808,40741.661265393035,42367.04972605912,44058.73712213674,45818.99039194689
Chrysler,Delta,17_3,19943.86894311882,20709.34121877965,21515.11713008608,22359.903399078197,23243.2266436934
Chrysler,Grand Voyager,17_4,32295.722535220248,33510.816497402346,34797.53469983974,36151.83596761224,37571.58932216197
Chrysler,Neon,17_5,24195.81042532831,25163.639138248793,26170.18211091389,27216.98758034505,28305.665813055075
Chrysler,PT Cruiser,17_7,24241.434415617896,25213.51565796947,26223.75299029706,27273.890804115108,28365.67782222403
Chrysler,Sebring,17_8,26729.07503594055,27786.668213507313,28890.036065338005,30039.9682942548,31237.59857643729
Chrysler,Voyager,17_9,29415.237911836804,30588.60440910741,31809.878472029704,33080.684531501494,34402.79955717497
Chrysler,Ypsilon,17_10,11654.635087629636,12082.35312702202,12538.72009722394,13021.419892697628,13529.082382514842
Citroen,Berlingo,18_2,18961.97985659564,20073.258971130548,21123.14927416553,22140.947206064982,23147.595466960563
Citroen,Berlingo Multispace,18_3,15223.421309657384,15808.267832468482,16423.735315064583,17068.88046617532,17743.37270177804
